Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,
Albania,Tirana,6.7,7.8,10,13.4,18,21.6,24,23.8,20.7,16,11.7,8.1,15.2,[182]
,,-44.1,-46,-50,-56.1,-64.4,-70.9,-75.2,-74.8,-69.3,-60.8,-53.1,-46.6,-59.4,
Andorra,Andorra la Vella,2.2,3.5,5.8,7.5,11.5,15.4,18.8,18.5,14.9,10.3,5.7,3,9.8,[183]
,,-36,-38.3,-42.4,-45.5,-52.7,-59.7,-65.8,-65.3,-58.8,-50.5,-42.3,-37.4,-49.6,
Austria,Vienna,0.3,1.5,5.7,10.7,15.7,18.7,20.8,20.2,15.4,10.2,5.1,1.1,10.4,[184]
,,-32.5,-34.7,-42.3,-51.3,-60.3,-65.7,-69.4,-68.4,-59.7,-50.4,-41.2,-34,-50.7,
Belarus,Minsk,-4.5,-4.4,0,7.2,13.3,16.4,18.5,17.5,12.1,6.6,0.6,-3.4,6.7,[185]
,,-23.9,-24.1,-32,-45,-55.9,-61.5,-65.3,-63.5,-53.8,-43.9,-33.1,-25.9,-44.1,
Belgium,Brussels,3.3,3.7,6.8,9.8,13.6,16.2,18.4,18,14.9,11.1,6.8,3.9,10.5,[186]
,,-37.9,-38.7,-44.2,-49.6,-56.5,-61.2,-65.1,-64.4,-58.8,-52,-44.2,-39,-50.9,
Bosnia and Herzegovina,Sarajevo,-0.5,1.4,5.7,10,14.8,17.7,19.7,19.7,15.3,11,5.4,0.9,10.1,[187]
,,-31.1,-34.5,-42.3,-50,-58.6,-63.9,-67.5,-67.5,-59.5,-51.8,-41.7,-33.6,-50.2,
Bulgaria,Sofia,-0.5,1.1,5.4,10.6,15.4,18.9,21.2,21,16.5,11.3,5.1,0.7,10.6,[188]
,,-31.1,-34,-41.7,-51.1,-59.7,-66,-70.2,-69.8,-61.7,-52.3,-41.2,-33.3,-51.1,
Croatia,Zagreb,0.3,2.3,6.4,10.7,15.8,18.8,20.6,20.1,15.9,10.5,5,1.4,10.7,[189]
,,-32.5,-36.1,-43.5,-51.3,-60.4,-65.8,-69.1,-68.2,-60.6,-50.9,-41,-34.5,-51.3,
Croatia,Split,8,8.4,10.6,13.7,18.9,22.8,25.7,25.4,21.2,16.8,12,9.1,16.1,[190]
,,-46.4,-47.1,-51.1,-56.7,-66,-73,-78.3,-77.7,-70.2,-62.2,-53.6,-48.4,-61,
Cyprus,Nicosia,10.6,10.6,13.1,17.1,22.3,26.9,29.7,29.4,26.2,22.3,16.3,12,19.7,[191]
,,-51.1,-51.1,-55.6,-62.8,-72.1,-80.4,-85.5,-84.9,-79.2,-72.1,-61.3,-53.6,-67.5,
Czech Republic,Prague,-1.4,-0.4,3.6,8.4,13.4,16.1,18.2,17.8,13.5,8.5,3.1,-0.3,8.4,[192]
,,-29.5,-31.3,-38.5,-47.1,-56.1,-61,-64.8,-64,-56.3,-47.3,-37.6,-31.5,-47.1,
Denmark,Copenhagen,1.4,1.4,3.5,7.7,12.5,15.6,18.1,17.7,13.9,9.8,5.5,2.5,9.1,[193]
,,-34.5,-34.5,-38.3,-45.9,-54.5,-60.1,-64.6,-63.9,-57,-49.6,-41.9,-36.5,-48.4,
Estonia,Tallinn,-3.3,-4.3,-1,4.5,10.1,14.1,17.2,16,11.3,6.5,1.3,-1.9,5.9,[194]
,,-26.1,-24.3,-30.2,-40.1,-50.2,-57.4,-63,-60.8,-52.3,-43.7,-34.3,-28.6,-42.6,
Finland,Helsinki,-3.9,-4.7,-1.3,3.9,10.2,14.6,17.8,16.3,11.5,6.6,1.6,-2,5.9,[195]
,,-25,-23.5,-29.7,-39,-50.4,-58.3,-64,-61.3,-52.7,-43.9,-34.9,-28.4,-42.6,
Finland,Kuopio,-9.2,-9.2,-4.1,2,9.1,14.5,17.5,15,9.7,4.1,-2,-6.7,3.4,[195]
,,-15.4,-15.4,-24.6,-35.6,-48.4,-58.1,-63.5,-59,-49.5,-39.4,-28.4,-19.9,-38.1,
Finland,Oulu,-9.6,-9.3,-4.8,1.4,7.8,13.5,16.5,14.1,8.9,3.3,-2.8,-7.1,2.7,[195]
,,-14.7,-15.3,-23.4,-34.5,-46,-56.3,-61.7,-57.4,-48,-37.9,-27,-19.2,-36.9,
France,Marseille,8.4,8.9,11.6,13.8,17.9,21.3,24.5,24.1,20.7,16.9,11.8,9.3,15.8,[196]
,,-47.1,-48,-52.9,-56.8,-64.2,-70.3,-76.1,-75.4,-69.3,-62.4,-53.2,-48.7,-60.4,
France,Paris,4.9,5.6,8.8,11.4,15.1,18.2,20.4,20.2,16.9,12.9,8.1,5.4,12.3,[197]
,,-40.8,-42.1,-47.8,-52.5,-59.2,-64.8,-68.7,-68.4,-62.4,-55.2,-46.6,-41.7,-54.1,
Germany,Berlin,0.6,2.3,5.1,10.2,14.8,17.9,20.3,19.7,15.3,10.5,6,1.3,10.3,[198]
,,-33.1,-36.1,-41.2,-50.4,-58.6,-64.2,-68.5,-67.5,-59.5,-50.9,-42.8,-34.3,-50.5,
Germany,Frankfurt,1.6,2.4,6.4,10.3,14.7,17.8,20,19.5,15.2,10.4,5.6,2.5,10.6,[199][circular reference]
,,-34.9,-36.3,-43.5,-50.5,-58.5,-64,-68,-67.1,-59.4,-50.7,-42.1,-36.5,-51.1,
Greece,Piraeus,11.1,11.2,13.3,16.9,21.4,26.3,29,28.8,25.2,20.6,15.8,12.6,19.4,[200]
,,-52,-52.2,-55.9,-62.4,-70.5,-79.3,-84.2,-83.8,-77.4,-69.1,-60.4,-54.7,-66.9,
Hungary,Budapest,0.4,2.3,6.1,12,16.6,19.7,21.5,21.2,16.9,11.8,5.4,1.8,11.3,[201]
,,-32.7,-36.1,-43,-53.6,-61.9,-67.5,-70.7,-70.2,-62.4,-53.2,-41.7,-35.2,-52.3,
Iceland,Reykjavík,-0.5,0.4,0.5,2.9,6.3,9,10.6,10.3,7.4,4.4,1.1,-0.2,4.3,[202]
,,-31.1,-32.7,-32.9,-37.2,-43.3,-48.2,-51.1,-50.5,-45.3,-39.9,-34,-31.6,-39.7,
Ireland,Dublin,5.3,5.3,6.8,8.3,10.9,13.6,15.6,15.3,13.4,10.5,7.4,5.6,9.8,[203]
,,-41.5,-41.5,-44.2,-46.9,-51.6,-56.5,-60.1,-59.5,-56.1,-50.9,-45.3,-42.1,-49.6,
Italy,Milan,2.5,4.7,9,12.2,17,20.8,23.6,23,19.2,13.4,7.2,3.3,13,[204]
,,-36.5,-40.5,-48.2,-54,-62.6,-69.4,-74.5,-73.4,-66.6,-56.1,-45,-37.9,-55.4,
Italy,Palermo,12.5,12.6,13.5,15.7,18.9,22.4,25.6,26.2,24.1,20.3,16.8,13.7,18.5,[205]
,,-54.5,-54.7,-56.3,-60.3,-66,-72.3,-78.1,-79.2,-75.4,-68.5,-62.2,-56.7,-65.3,
Italy,Rome,7.5,8.2,10.2,12.6,17.2,21.1,24.1,24.5,20.8,16.4,11.4,8.4,15.2,[206]
,,-45.5,-46.8,-50.4,-54.7,-63,-70,-75.4,-76.1,-69.4,-61.5,-52.5,-47.1,-59.4,
Italy,Napoli,8.7,8.8,11.1,13.2,17.8,21.4,24.3,24.7,21.4,17.1,12.4,9.8,15.9,[207]
,,-47.7,-47.8,-52,-55.8,-64,-70.5,-75.7,-76.5,-70.5,-62.8,-54.3,-49.6,-60.6,
Latvia,Riga,-4.7,-4.2,0.5,5.1,11.4,15.5,16.9,16.2,12,7.4,2.1,-2.3,6.2,[208]
,,-23.5,-24.4,-32.9,-41.2,-52.5,-59.9,-62.4,-61.2,-53.6,-45.3,-35.8,-27.9,-43.2,
Liechtenstein,Vaduz,0.8,2.1,6.3,9.9,14.4,17.1,19,18.4,14.9,10.9,5.2,1.9,10.1,[209]
,,-33.4,-35.8,-43.3,-49.8,-57.9,-62.8,-66.2,-65.1,-58.8,-51.6,-41.4,-35.4,-50.2,
Lithuania,Vilnius,-6.1,-4.8,-0.6,5.7,12.5,15.8,16.9,16.3,11.6,6.6,1.2,-2.9,6,[210]
,,-21,-23.4,-30.9,-42.3,-54.5,-60.4,-62.4,-61.3,-52.9,-43.9,-34.2,-26.8,-42.8,
Luxembourg,Luxembourg City,0.8,1.6,5.2,8.7,13,15.9,18.2,17.7,13.9,9.5,4.7,1.8,9.3,[211]
,,-33.4,-34.9,-41.4,-47.7,-55.4,-60.6,-64.8,-63.9,-57,-49.1,-40.5,-35.2,-48.7,
Macedonia,Skopje,0.1,2.6,7.6,12.1,17.3,21.5,23.8,23.8,18.8,13.1,6.5,1.7,12.4,[212]
,,-32.2,-36.7,-45.7,-53.8,-63.1,-70.7,-74.8,-74.8,-65.8,-55.6,-43.7,-35.1,-54.3,
Malta,Valletta,12.8,12.8,13.3,15.6,18.9,22.8,26.1,26.7,23.9,21.1,17.2,13.9,18.8,[213]
,,-55,-55,-55.9,-60.1,-66,-73,-79,-80.1,-75,-70,-63,-57,-65.8,
Moldova,Chișinău,-1.9,-0.8,3.7,10.4,16.5,19.9,22.1,21.7,16.3,10.5,4.1,-0.6,10.2,[214]
,,-28.6,-30.6,-38.7,-50.7,-61.7,-67.8,-71.8,-71.1,-61.3,-50.9,-39.4,-30.9,-50.4,
Monaco,Monaco,10.2,10.2,12,13.8,17.5,20.9,23.8,24.2,21.1,17.9,13.8,11.2,16.4,[215]
,,-50.4,-50.4,-53.6,-56.8,-63.5,-69.6,-74.8,-75.6,-70,-64.2,-56.8,-52.2,-61.5,
Montenegro,Podgorica,5,6.8,10,13.9,19,22.8,26,25.6,21.4,15.9,10.5,6.5,15.3,[216]
,,-41,-44.2,-50,-57,-66.2,-73,-78.8,-78.1,-70.5,-60.6,-50.9,-43.7,-59.5,
Netherlands,Amsterdam,3.4,3.5,6.1,9.1,12.9,15.4,17.6,17.5,14.7,11,7.1,4,10.2,[217]
,,-38.1,-38.3,-43,-48.4,-55.2,-59.7,-63.7,-63.5,-58.5,-51.8,-44.8,-39.2,-50.4,
Norway,Bergen,1.5,1.6,3.3,5.9,10.5,13.5,14.5,14.4,11.5,8.7,4.7,2.6,7.7,[218]
,,-34.7,-34.9,-37.9,-42.6,-50.9,-56.3,-58.1,-57.9,-52.7,-47.7,-40.5,-36.7,-45.9,
Norway,Oslo,-4.3,-4,-0.2,4.5,10.8,15.2,16.4,15.2,10.8,6.3,0.7,-3.1,5.7,[219]
,,-24.3,-24.8,-31.6,-40.1,-51.4,-59.4,-61.5,-59.4,-51.4,-43.3,-33.3,-26.4,-42.3,
Norway,Tromsø,-3.8,-3.7,-2.3,0.7,5.1,9.2,11.8,10.9,6.9,3.2,-0.6,-2.7,2.9,[220]
,,-25.2,-25.3,-27.9,-33.3,-41.2,-48.6,-53.2,-51.6,-44.4,-37.8,-30.9,-27.1,-37.2,
Poland,Cracow,-1,0.4,4.1,9.8,14.6,18.3,20,19.2,14.1,9.2,4.4,0.2,9.3,[221]
,,-30.2,-32.7,-39.4,-49.6,-58.3,-64.9,-68,-66.6,-57.4,-48.6,-39.9,-32.4,-48.7,
Poland,Suwałki,-3.3,-2.6,0.9,7.3,12.6,15.9,18.1,17.4,12.5,7,2.3,-1.6,7.2,[222]
,,-26.1,-27.3,-33.6,-45.1,-54.7,-60.6,-64.6,-63.3,-54.5,-44.6,-36.1,-29.1,-45,
Poland,Warsaw,-1.8,-0.6,2.8,8.7,14.2,17,19.2,18.3,13.5,8.5,3.3,-0.7,8.5,[223]
,,-28.8,-30.9,-37,-47.7,-57.6,-62.6,-66.6,-64.9,-56.3,-47.3,-37.9,-30.7,-47.3,
Poland,Wrocław,0,1.1,4.3,9.7,14.3,17.7,19.7,19.3,14.5,9.6,4.8,1.1,9.6,[224]
,,-32,-34,-39.7,-49.5,-57.7,-63.9,-67.5,-66.7,-58.1,-49.3,-40.6,-34,-49.3,
Portugal,Lisbon,11.6,12.7,14.9,15.9,18,21.2,23.1,23.5,22.1,18.8,15,12.4,17.5,[225]
,,-52.9,-54.9,-58.8,-60.6,-64.4,-70.2,-73.6,-74.3,-71.8,-65.8,-59,-54.3,-63.5,
Romania,Bucharest,-1.3,0.4,5.4,11.2,16.8,20.6,22.5,22,16.9,11,4.7,0.2,10.8,[226]
,,-29.7,-32.7,-41.7,-52.2,-62.2,-69.1,-72.5,-71.6,-62.4,-51.8,-40.5,-32.4,-51.4,
Russia,Arkhangelsk,-12.7,-11.4,-5.5,0.4,6.9,13,16.3,13.1,8.2,2.3,-5.1,-9.8,1.3,[227]
,,-9.1,-11.5,-22.1,-32.7,-44.4,-55.4,-61.3,-55.6,-46.8,-36.1,-22.8,-14.4,-34.3,
Russia,Moscow,-6.5,-6.7,-1,6.7,13.2,17,19.2,17,11.3,5.6,-1.2,-5.2,5.8,[228]
,,-20.3,-19.9,-30.2,-44.1,-55.8,-62.6,-66.6,-62.6,-52.3,-42.1,-29.8,-22.6,-42.4,
Russia,Murmansk,-10.1,-9.7,-5.5,-0.7,4,9.2,12.8,11.1,7,1.5,-4.8,-8.2,0.6,[229]
,,-13.8,-14.5,-22.1,-30.7,-39.2,-48.6,-55,-52,-44.6,-34.7,-23.4,-17.2,-33.1,
Russia,Rostov-on-Don,-3,-2.8,2.4,10.6,16.6,21,23.4,22.6,16.7,10,2.9,-1.6,9.9,[230]
,,-26.6,-27,-36.3,-51.1,-61.9,-69.8,-74.1,-72.7,-62.1,-50,-37.2,-29.1,-49.8,
Russia,Saint Petersburg,-5.5,-5.8,-1.3,5.1,11.3,15.7,18.8,16.9,11.6,6.2,0.1,-3.7,5.8,[231]
,,-22.1,-21.6,-29.7,-41.2,-52.3,-60.3,-65.8,-62.4,-52.9,-43.2,-32.2,-25.3,-42.4,
Russia,Sochi,6.1,6,8.2,12.1,16,20.2,23.2,23.6,20,15.8,11.1,8.1,14.2,[232]
,,-43,-42.8,-46.8,-53.8,-60.8,-68.4,-73.8,-74.5,-68,-60.4,-52,-46.6,-57.6,
San Marino,City of San Marino,2.7,4.2,6.4,10.1,14.6,18.5,21.3,21.4,17.8,12.8,8,4.2,11.8,[233]
,,-36.9,-39.6,-43.5,-50.2,-58.3,-65.3,-70.3,-70.5,-64,-55,-46.4,-39.6,-53.2,
Serbia,Belgrade,1.4,3.1,7.6,12.9,18.1,21,23,22.7,18,12.9,7.1,2.7,12.5,[234]
,,-34.5,-37.6,-45.7,-55.2,-64.6,-69.8,-73.4,-72.9,-64.4,-55.2,-44.8,-36.9,-54.5,
Slovakia,Bratislava,-0.4,1.2,5.5,11,16,19.1,21.3,20.7,15.9,10.4,4.9,0.7,10.5,
,,-31.3,-34.2,-41.9,-51.8,-60.8,-66.4,-70.3,-69.3,-60.6,-50.7,-40.8,-33.3,-50.9,
Slovenia,Ljubljana,0.3,1.9,6.5,10.8,15.8,19.1,21.3,20.6,16,11.2,5.6,1.2,10.9,[235]
,,-32.5,-35.4,-43.7,-51.4,-60.4,-66.4,-70.3,-69.1,-60.8,-52.2,-42.1,-34.2,-51.6,
Spain,Barcelona,11.8,12.4,14.2,15.8,19.3,23,25.7,26.1,23,19.5,14.9,12.3,18.2,[236]
,,-53.2,-54.3,-57.6,-60.4,-66.7,-73.4,-78.3,-79,-73.4,-67.1,-58.8,-54.1,-64.8,
Spain,Las Palmas de Gran Canaria,18.1,18.4,19.3,19.5,20.5,22.2,23.8,24.6,24.3,23.1,21.2,19.3,21.2,[237]
,,-64.6,-65.1,-66.7,-67.1,-68.9,-72,-74.8,-76.3,-75.7,-73.6,-70.2,-66.7,-70.2,
Spain,Madrid,6.3,7.9,11.2,12.9,16.7,22.2,25.6,25.1,20.9,15.1,9.9,6.9,15,[238]
,,-43.3,-46.2,-52.2,-55.2,-62.1,-72,-78.1,-77.2,-69.6,-59.2,-49.8,-44.4,-59,
Spain,Seville,11,12.5,15.6,17.3,20.7,25.1,28.2,27.9,25,20.2,15.1,11.9,19.2,[239]
,,-51.8,-54.5,-60.1,-63.1,-69.3,-77.2,-82.8,-82.2,-77,-68.4,-59.2,-53.4,-66.6,
Spain,Valencia,11.8,12.5,14.6,16.2,19,22.9,25.6,26.1,23.5,19.7,15.3,12.6,18.3,[240]</ref>
,,-53.2,-54.5,-58.3,-61.2,-66.2,-73.2,-78.1,-79,-74.3,-67.5,-59.5,-54.7,-64.9,
Sweden,Stockholm,-2.8,-3,0.1,4.6,10.7,15.6,17.2,16.2,11.9,7.5,2.6,-1,6.6,[241]
,,-27,-26.6,-32.2,-40.3,-51.3,-60.1,-63,-61.2,-53.4,-45.5,-36.7,-30.2,-43.9,
Switzerland,Zürich,0.3,1.3,5.3,8.8,13.3,16.4,18.6,18,14.1,9.9,4.4,1.4,9.3,[242]
,,-32.5,-34.3,-41.5,-47.8,-55.9,-61.5,-65.5,-64.4,-57.4,-49.8,-39.9,-34.5,-48.7,
Turkey,Istanbul,5.7,5.7,7,11.1,15.7,20.4,22.9,23.1,19.8,15.6,11.5,8,13.9,[243]
,,-42.3,-42.3,-44.6,-52,-60.3,-68.7,-73.2,-73.6,-67.6,-60.1,-52.7,-46.4,-57,
Ukraine,Kiev,-3.5,-3,1.8,9.3,15.5,18.5,20.5,19.7,14.2,8.4,1.9,-2.3,8.4,[244]
,,-25.7,-26.6,-35.2,-48.7,-59.9,-65.3,-68.9,-67.5,-57.6,-47.1,-35.4,-27.9,-47.1,
Ukraine,Lviv,-3.1,-2.2,1.9,8.3,13.8,16.4,18.3,17.7,13,8.1,2.6,-1.8,7.8,[245]
,,-26.4,-28,-35.4,-46.9,-56.8,-61.5,-64.9,-63.9,-55.4,-46.6,-36.7,-28.8,-46,
Ukraine,Odessa,-0.5,-0.2,3.5,9.4,15.6,20,22.6,22.3,17.2,11.6,5.7,1.1,10.7,[246]
,,-31.1,-31.6,-38.3,-48.9,-60.1,-68,-72.7,-72.1,-63,-52.9,-42.3,-34,-51.3,
United Kingdom,Edinburgh,4.2,4.5,6.2,8.1,10.8,13.5,15.3,15.2,13,9.8,6.7,4.2,9.3,[247]
,,-39.6,-40.1,-43.2,-46.6,-51.4,-56.3,-59.5,-59.4,-55.4,-49.6,-44.1,-39.6,-48.7,
United Kingdom,London,4.3,4.5,6.9,8.7,12.1,15.1,17.3,17,14.3,10.9,7.2,4.7,10.3,[248]
,,-39.7,-40.1,-44.4,-47.7,-53.8,-59.2,-63.1,-62.6,-57.7,-51.6,-45,-40.5,-50.5,